grantee,table_schema,table_name,privilege_type
anon,public,tcf_explainability_logs,DELETE
anon,public,tcf_explainability_logs,INSERT
anon,public,tcf_explainability_logs,REFERENCES
anon,public,tcf_explainability_logs,SELECT
anon,public,tcf_explainability_logs,TRIGGER
anon,public,tcf_explainability_logs,TRUNCATE
anon,public,tcf_explainability_logs,UPDATE
authenticated,public,tcf_explainability_logs,DELETE
authenticated,public,tcf_explainability_logs,INSERT
authenticated,public,tcf_explainability_logs,REFERENCES
authenticated,public,tcf_explainability_logs,SELECT
authenticated,public,tcf_explainability_logs,TRIGGER
authenticated,public,tcf_explainability_logs,TRUNCATE
authenticated,public,tcf_explainability_logs,UPDATE
postgres,app,audit_events,DELETE
postgres,app,audit_events,INSERT
postgres,app,audit_events,REFERENCES
postgres,app,audit_events,SELECT
postgres,app,audit_events,TRIGGER
postgres,app,audit_events,TRUNCATE
postgres,app,audit_events,UPDATE
postgres,public,tcf_explainability_logs,DELETE
postgres,public,tcf_explainability_logs,INSERT
postgres,public,tcf_explainability_logs,REFERENCES
postgres,public,tcf_explainability_logs,SELECT
postgres,public,tcf_explainability_logs,TRIGGER
postgres,public,tcf_explainability_logs,TRUNCATE
postgres,public,tcf_explainability_logs,UPDATE
service_role,public,tcf_explainability_logs,DELETE
service_role,public,tcf_explainability_logs,INSERT
service_role,public,tcf_explainability_logs,REFERENCES
service_role,public,tcf_explainability_logs,SELECT
service_role,public,tcf_explainability_logs,TRIGGER
service_role,public,tcf_explainability_logs,TRUNCATE
service_role,public,tcf_explainability_logs,UPDATE
